Nombre,Tipo de Actor,Organización,Cargo,Tipo Participación,Evento,Fecha,País,Tema/Panel,Fuente URL
SQM,Organización,Empresa minera del litio,Corporación,Patrocinador diplomado,"Conversatorio UCN ""Litio, agricultura y comunidades"" (Diplomado Litio)",2023-12-04,Chile,Apoyo financiero al diplomado,https://www.norteyenergia.cl/conversatorio-en-el-diplomado-de-litio-reunio-a-representantes-del-pueblo-lickanantay-industria-gobierno-regional-y-la-academia-en-la-ucn/
Consorcio HEUMA,Organización,Consorcio técnico,Consorcio,Patrocinador diplomado,"Conversatorio UCN ""Litio, agricultura y comunidades"" (Diplomado Litio)",2023-12-04,Chile,Apoyo al diplomado,https://www.norteyenergia.cl/conversatorio-en-el-diplomado-de-litio-reunio-a-representantes-del-pueblo-lickanantay-industria-gobierno-regional-y-la-academia-en-la-ucn/
Christian Rodríguez,Persona,UCN – Instituto de Políticas Públicas (IPP),Director IPP,Organizador / moderador,"Ciclo ""Diálogos abiertos sobre el litio"" UCN",2022-09-01,Chile,Gobernanza del litio,https://arquitectura.uc.cl/proyectos/noticias/7501-ximena-arizaga-participo-en-seminario-sobre-el-litio-de-la-universidad-catolica-del-norte.html
Ximena Arizaga,Persona,PUC Escuela de Arquitectura,Profesora / investigadora,Panelista,"Ciclo ""Diálogos abiertos sobre el litio"" UCN",2022-09-01,Chile,Evaluación ambiental complementaria del litio,https://arquitectura.uc.cl/proyectos/noticias/7501-ximena-arizaga-participo-en-seminario-sobre-el-litio-de-la-universidad-catolica-del-norte.html
María José Latorre,Persona,El Mercurio de Antofagasta,Periodista,Panelista / moderadora,"Ciclo ""Diálogos abiertos sobre el litio"" UCN",2022-09-01,Chile,Cobertura mediática litio,https://arquitectura.uc.cl/proyectos/noticias/7501-ximena-arizaga-participo-en-seminario-sobre-el-litio-de-la-universidad-catolica-del-norte.html
Carlos Díaz,Persona,SQM,Vicepresidente Litio,Panelista corporativo,"Ciclo ""Diálogos abiertos sobre el litio"" UCN",2022-09-01,Chile,Industria del litio,https://arquitectura.uc.cl/proyectos/noticias/7501-ximena-arizaga-participo-en-seminario-sobre-el-litio-de-la-universidad-catolica-del-norte.html
Michael Schmidt,Persona,DERA / BGR Alemania,Experto mercado litio,Expositor internacional,"Ciclo ""Diálogos abiertos sobre el litio"" UCN",2022-2023,Chile,Mercado global del litio,https://arquitectura.uc.cl/proyectos/noticias/7501-ximena-arizaga-participo-en-seminario-sobre-el-litio-de-la-universidad-catolica-del-norte.html
Rodrigo Alda Varas,Persona,UCN,Rector,Autoridad apertura varias sesiones,"Ciclo ""Diálogos abiertos sobre el litio"" UCN",2022-2024,Chile,Rol UCN en cadena valor litio,https://www.noticias.ucn.cl/
Vladimir Reyes,Persona,CPA,Presidente,Panelista (Seminario Impacto Litio 2023 IPP-UCN),"Ciclo ""Diálogos abiertos sobre el litio"" UCN",2023-08-23,Chile,Impacto del litio en Atacama,https://www.noticias.ucn.cl/
Ricardo Díaz,Persona,Gobierno Regional de Antofagasta,Gobernador Regional,Panelista,"Ciclo ""Diálogos abiertos sobre el litio"" UCN",2023-08-23,Chile,Desarrollo regional / litio,https://www.noticias.ucn.cl/
Justo Zuleta,Persona,Municipalidad de San Pedro de Atacama,Alcalde,Panelista,"Ciclo ""Diálogos abiertos sobre el litio"" UCN",2023-08-23,Chile,Municipio y litio,https://www.noticias.ucn.cl/
UCN – Instituto de Políticas Públicas,Organización,Centro de investigación UCN,Centro universitario,Organizador del ciclo,"Ciclo ""Diálogos abiertos sobre el litio"" UCN",2022-2024,Chile,Diálogos abiertos litio,https://arquitectura.uc.cl/proyectos/noticias/7501-ximena-arizaga-participo-en-seminario-sobre-el-litio-de-la-universidad-catolica-del-norte.html
El Mercurio de Antofagasta,Organización,Medio regional,Medio de comunicación,Co-organizador,"Ciclo ""Diálogos abiertos sobre el litio"" UCN",2022-2024,Chile,Difusión del ciclo,https://arquitectura.uc.cl/proyectos/noticias/7501-ximena-arizaga-participo-en-seminario-sobre-el-litio-de-la-universidad-catolica-del-norte.html
Rodrigo Alda Varas,Persona,UCN,Rector,Apertura / palabras inaugurales,"Seminario SQM-AIA-UCN ""Hacia un futuro sustentable: Rol y Estrategias de Chile en el mercado global del Litio"" (Exponor 2024)",2024-06-05,Chile,Oportunidad histórica del litio,https://www.noticias.ucn.cl/destacado/consolidacion-futuro-y-desafios-del-litio-abordo-seminario-conjunto-sqm-aia-ucn-en-exponor-2024/
Aurora Williams,Persona,Ministerio de Minería de Chile,Ministra,Keynote,"Seminario SQM-AIA-UCN ""Hacia un futuro sustentable: Rol y Estrategias de Chile en el mercado global del Litio"" (Exponor 2024)",2024-06-05,Chile,Consolidación Estrategia Nacional del Litio,https://www.noticias.ucn.cl/destacado/ucn-presente-en-exponor-2024/
José Miguel Berguño,Persona,SQM Litio,Vicepresidente Servicios Corporativos y Sostenibilidad,Presentación,"Seminario SQM-AIA-UCN ""Hacia un futuro sustentable: Rol y Estrategias de Chile en el mercado global del Litio"" (Exponor 2024)",2024-06-05,Chile,Consolidación ENL,https://www.noticias.ucn.cl/destacado/ucn-presente-en-exponor-2024/
Ricardo Díaz,Persona,Gobierno Regional de Antofagasta,Gobernador Regional,Panelista,"Seminario SQM-AIA-UCN ""Hacia un futuro sustentable: Rol y Estrategias de Chile en el mercado global del Litio"" (Exponor 2024)",2024-06-05,Chile,Consolidación ENL,https://www.noticias.ucn.cl/destacado/ucn-presente-en-exponor-2024/
Alexis Romero,Persona,Consejo de Pueblos Atacameños (CPA),Presidente CPA,Panelista,"Seminario SQM-AIA-UCN ""Hacia un futuro sustentable: Rol y Estrategias de Chile en el mercado global del Litio"" (Exponor 2024)",2024-06-05,Chile,Consolidación ENL / comunidades,https://www.noticias.ucn.cl/destacado/ucn-presente-en-exponor-2024/
Jerónimo Verdugo,Persona,ENAMI – Empresa Nacional de Minería,Superintendente Desarrollo del Litio,Panelista,"Seminario SQM-AIA-UCN ""Hacia un futuro sustentable: Rol y Estrategias de Chile en el mercado global del Litio"" (Exponor 2024)",2024-06-05,Chile,Consolidación ENL,https://www.noticias.ucn.cl/destacado/ucn-presente-en-exponor-2024/
Cristian Cuevas,Persona,Seremi Ciencia y Tecnología Macrozona Norte,Seremi CTCI,Moderador panel 1,"Seminario SQM-AIA-UCN ""Hacia un futuro sustentable: Rol y Estrategias de Chile en el mercado global del Litio"" (Exponor 2024)",2024-06-05,Chile,Consolidación ENL,https://www.noticias.ucn.cl/destacado/ucn-presente-en-exponor-2024/
Ignacio Mehech,Persona,Albemarle Chile,VP Asuntos Externos,Presentación,"Seminario SQM-AIA-UCN ""Hacia un futuro sustentable: Rol y Estrategias de Chile en el mercado global del Litio"" (Exponor 2024)",2024-06-05,Chile,Litio y Salares,https://www.noticias.ucn.cl/destacado/ucn-presente-en-exponor-2024/
Natalia Pizarro,Persona,SQM Litio,Vicepresidenta Personas y Desempeño Litio,Presentación,"Seminario SQM-AIA-UCN ""Hacia un futuro sustentable: Rol y Estrategias de Chile en el mercado global del Litio"" (Exponor 2024)",2024-06-05,Chile,SQM en Exponor,https://sqmlitio.com/wp-content/uploads/2024/05/Programa-SQM-en-EXPONOR-2024-270524.pdf
Hernán Cáceres,Persona,UCN – Lithium I+D+i,Director Lithium I+D+i / Decano FICG,Moderador / presentador centro,"Seminario SQM-AIA-UCN ""Hacia un futuro sustentable: Rol y Estrategias de Chile en el mercado global del Litio"" (Exponor 2024)",2024-06-05,Chile,Baterías de Litio,https://www.noticias.ucn.cl/destacado/consolidacion-futuro-y-desafios-del-litio-abordo-seminario-conjunto-sqm-aia-ucn-en-exponor-2024/
Olga María Valdés,Persona,UCN,Directora General Vinculación con el Medio,Moderadora panel,"Seminario SQM-AIA-UCN ""Hacia un futuro sustentable: Rol y Estrategias de Chile en el mercado global del Litio"" (Exponor 2024)",2024-06-05,Chile,Vínculo academia-industria,https://www.noticias.ucn.cl/destacado/consolidacion-futuro-y-desafios-del-litio-abordo-seminario-conjunto-sqm-aia-ucn-en-exponor-2024/
Javier Silva,Persona,SQM Salar de Atacama,Gerente Sostenibilidad,Panelista,"Seminario SQM-AIA-UCN ""Hacia un futuro sustentable: Rol y Estrategias de Chile en el mercado global del Litio"" (Exponor 2024)",2024-06-05,Chile,Litio y Salares,https://sqmlitio.com/wp-content/uploads/2024/05/Programa-SQM-en-EXPONOR-2024-270524.pdf
Tamara Berríos,Persona,BYD Chile,Country Manager,Panelista,"Seminario SQM-AIA-UCN ""Hacia un futuro sustentable: Rol y Estrategias de Chile en el mercado global del Litio"" (Exponor 2024)",2024-06-05,Chile,Baterías de Litio,https://www.noticias.ucn.cl/destacado/consolidacion-futuro-y-desafios-del-litio-abordo-seminario-conjunto-sqm-aia-ucn-en-exponor-2024/
Osvaldo Yáñez,Persona,SQM Litio,Gerente Innovación,Panelista,"Seminario SQM-AIA-UCN ""Hacia un futuro sustentable: Rol y Estrategias de Chile en el mercado global del Litio"" (Exponor 2024)",2024-06-05,Chile,Innovación litio,https://sqm-ynv.com/noticia/universidad-catolica-del-norte-presenta-lithium-idi-nuevo-centro-de-investigacion-en-baterias-de-litio/
Andreas Bittner,Persona,Instituto Europeo del Litio / Fraunhofer ISC,Director Ejecutivo Instituto Europeo Litio,Expositor internacional,"Seminario SQM-AIA-UCN ""Hacia un futuro sustentable: Rol y Estrategias de Chile en el mercado global del Litio"" (Exponor 2024)",2024-06-05,Chile,Desarrollo del litio,https://sqm-ynv.com/noticia/universidad-catolica-del-norte-presenta-lithium-idi-nuevo-centro-de-investigacion-en-baterias-de-litio/
Frank Dinter,Persona,Fraunhofer Chile,Executive Director,Panelista,"Seminario SQM-AIA-UCN ""Hacia un futuro sustentable: Rol y Estrategias de Chile en el mercado global del Litio"" (Exponor 2024)",2024-06-05,Chile,Cooperación tecnológica,https://www.noticias.ucn.cl/destacado/consolidacion-futuro-y-desafios-del-litio-abordo-seminario-conjunto-sqm-aia-ucn-en-exponor-2024/
Camila Bazán,Persona,Orica,Marketing & Communications Specialist Latin America,Moderadora,"Seminario SQM-AIA-UCN ""Hacia un futuro sustentable: Rol y Estrategias de Chile en el mercado global del Litio"" (Exponor 2024)",2024-06-05,Chile,Sesión Orica,https://sqmlitio.com/wp-content/uploads/2024/05/Programa-SQM-en-EXPONOR-2024-270524.pdf
Valentín Barrera,Persona,SQM,Operador Planta Litio,Participante conversatorio,"Seminario SQM-AIA-UCN ""Hacia un futuro sustentable: Rol y Estrategias de Chile en el mercado global del Litio"" (Exponor 2024)",2024-06-05,Chile,Operación productiva,https://sqmlitio.com/wp-content/uploads/2024/05/Programa-SQM-en-EXPONOR-2024-270524.pdf
Carolina Rojas,Persona,Expande,Directora de Innovación en Minería,Panelista,"Seminario SQM-AIA-UCN ""Hacia un futuro sustentable: Rol y Estrategias de Chile en el mercado global del Litio"" (Exponor 2024)",2024-06-05,Chile,Tech Transfer minería,https://sqmlitio.com/wp-content/uploads/2024/05/Programa-SQM-en-EXPONOR-2024-270524.pdf
Asociación de Industriales de Antofagasta (AIA),Organización,Gremio empresarial minero,Asociación gremial,Co-organizadora,"Seminario SQM-AIA-UCN ""Hacia un futuro sustentable: Rol y Estrategias de Chile en el mercado global del Litio"" (Exponor 2024)",2024-06-05,Chile,Articulación industria-academia,https://www.noticias.ucn.cl/destacado/ucn-presente-en-exponor-2024/
UCN – Lithium I+D+i,Organización,Centro de Investigación UCN,Centro universitario,Co-organizador,"Seminario SQM-AIA-UCN ""Hacia un futuro sustentable: Rol y Estrategias de Chile en el mercado global del Litio"" (Exponor 2024)",2024-06-05,Chile,Seminario conjunto,https://www.noticias.ucn.cl/destacado/ucn-presente-en-exponor-2024/
SQM Litio,Organización,División de SQM,Corporación,Co-organizador / stand,"Seminario SQM-AIA-UCN ""Hacia un futuro sustentable: Rol y Estrategias de Chile en el mercado global del Litio"" (Exponor 2024)",2024-06-05,Chile,Industria anfitriona,https://www.noticias.ucn.cl/destacado/ucn-presente-en-exponor-2024/
Fraunhofer Chile,Organización,Instituto de investigación aplicada,Instituto internacional,Participante,"Seminario SQM-AIA-UCN ""Hacia un futuro sustentable: Rol y Estrategias de Chile en el mercado global del Litio"" (Exponor 2024)",2024-06-05,Chile,Baterías de Litio,https://www.noticias.ucn.cl/destacado/consolidacion-futuro-y-desafios-del-litio-abordo-seminario-conjunto-sqm-aia-ucn-en-exponor-2024/
BYD Chile,Organización,Filial automotriz china,Corporación,Participante,"Seminario SQM-AIA-UCN ""Hacia un futuro sustentable: Rol y Estrategias de Chile en el mercado global del Litio"" (Exponor 2024)",2024-06-05,Chile,Baterías de Litio,https://www.noticias.ucn.cl/destacado/consolidacion-futuro-y-desafios-del-litio-abordo-seminario-conjunto-sqm-aia-ucn-en-exponor-2024/
Albemarle Chile,Organización,Empresa minera del litio,Corporación,Expositora,"Seminario SQM-AIA-UCN ""Hacia un futuro sustentable: Rol y Estrategias de Chile en el mercado global del Litio"" (Exponor 2024)",2024-06-05,Chile,Litio y Salares,https://www.noticias.ucn.cl/destacado/ucn-presente-en-exponor-2024/
ENAMI,Organización,Empresa Nacional de Minería,Empresa estatal,Panelista institucional,"Seminario SQM-AIA-UCN ""Hacia un futuro sustentable: Rol y Estrategias de Chile en el mercado global del Litio"" (Exponor 2024)",2024-06-05,Chile,Estrategia Nacional del Litio,https://www.noticias.ucn.cl/destacado/ucn-presente-en-exponor-2024/
CPA (Consejo de Pueblos Atacameños),Organización,Comunidades Lickanantay,Asociación indígena,Panel con industria,"Seminario SQM-AIA-UCN ""Hacia un futuro sustentable: Rol y Estrategias de Chile en el mercado global del Litio"" (Exponor 2024)",2024-06-05,Chile,Voz indígena en industria,https://www.noticias.ucn.cl/destacado/ucn-presente-en-exponor-2024/
Exponor Chile 2024,Organización,Feria minera internacional,Feria,Sede del evento,"Seminario SQM-AIA-UCN ""Hacia un futuro sustentable: Rol y Estrategias de Chile en el mercado global del Litio"" (Exponor 2024)",2024-06-05,Chile,Antofagasta 3-6 junio,https://www.noticias.ucn.cl/destacado/ucn-presente-en-exponor-2024/
Victoria Flexer,Persona,CIDMEJu – CONICET Argentina,Investigadora Dra. en Ciencias Químicas,Keynote,Congreso Futuro 2024 – Sede Antofagasta (panel litio),2024-01-17,Chile,Litio y revolución energética,https://www.noticias.ucn.cl/
Claudia Núñez,Persona,UCN / Match Sens,Académica / CEO,Panelista,Congreso Futuro 2024 – Sede Antofagasta (panel litio),2024-01-17,Chile,Química del litio / emprendimiento,https://www.noticias.ucn.cl/
Ramón López de Mantarás,Persona,CSIC España,Investigador IA,Keynote internacional,Congreso Futuro 2024 – Sede Antofagasta (panel litio),2024-01-17,Chile,Inteligencia artificial,https://www.noticias.ucn.cl/
Marcos Domic,Persona,UCN,Neurocientífico,Panelista,Congreso Futuro 2024 – Sede Antofagasta (panel litio),2024-01-17,Chile,Neurociencia,https://www.noticias.ucn.cl/
Jorge Serrano Malebrán,Persona,UCN – Economía,Académico,Panelista,Congreso Futuro 2024 – Sede Antofagasta (panel litio),2024-01-17,Chile,Economía regional,https://www.noticias.ucn.cl/
Hernán Cáceres,Persona,UCN – Lithium I+D+i / FICG,Decano / Director Lithium I+D+i,Panelista / moderador,Congreso Futuro 2024 – Sede Antofagasta (panel litio),2024-01-17,Chile,Futuro sostenible del litio,https://www.noticias.ucn.cl/
Comisión Desafíos del Futuro – Senado,Organización,Senado de Chile,Comisión legislativa,Co-organizadora,Congreso Futuro 2024 – Sede Antofagasta (panel litio),2024-01-17,Chile,Congreso Futuro,https://www.noticias.ucn.cl/
Fundación Encuentros del Futuro,Organización,Fundación Congreso Futuro,Fundación,Co-organizadora,Congreso Futuro 2024 – Sede Antofagasta (panel litio),2024-01-17,Chile,Logística e implementación,https://www.noticias.ucn.cl/
Universidad Católica del Norte,Organización,Universidad chilena,Casa de estudios,Sede Antofagasta,Congreso Futuro 2024 – Sede Antofagasta (panel litio),2024-01-17,Chile,Sede regional,https://www.noticias.ucn.cl/
Ramón Balcázar Morales,Persona,Fundación Tantí / OPSAL,Director Ejecutivo,Organizador / moderador,"Seminario ""Desafíos de la Transición Justa en el Norte de Chile""",2024-10-23,Chile,Transición justa / litio,https://fundaciontanti.org/seminario/
Gabriela Cabaña,Persona,Fundación Tantí,Investigadora,Panelista,"Seminario ""Desafíos de la Transición Justa en el Norte de Chile""",2024-10-23,Chile,Transición justa / energía,https://fundaciontanti.org/2025/01/30/memoria-seminario-desafios-de-la-transicion-justa-en-el-norte-de-chile/
Robinson Galleguillos Morel,Persona,Comunidad de San Francisco de Chiu-Chiu,Presidente,Panelista comunitario,"Seminario ""Desafíos de la Transición Justa en el Norte de Chile""",2024-10-23,Chile,Territorios del norte,https://fundaciontanti.org/2025/01/30/memoria-seminario-desafios-de-la-transicion-justa-en-el-norte-de-chile/
Fundación Tantí,Organización,Fundación territorial,Fundación,Organizadora principal,"Seminario ""Desafíos de la Transición Justa en el Norte de Chile""",2024-10-23,Chile,Transición justa,https://fundaciontanti.org/seminario/
Fundación Heinrich Böll Cono Sur,Organización,Fundación política alemana,Fundación internacional,Co-organizadora,"Seminario ""Desafíos de la Transición Justa en el Norte de Chile""",2024-10-23,Chile,Transición justa,https://fundaciontanti.org/seminario/
Universidad de Antofagasta,Organización,Universidad chilena,Casa de estudios,Co-organizadora / sede,"Seminario ""Desafíos de la Transición Justa en el Norte de Chile""",2024-10-23,Chile,Transición justa,https://fundaciontanti.org/seminario/
Jaime Chacana Olivares,Persona,UCN – Lithium I+D+i,Director Lithium I+D+i,Organizador / comité,"IWLiME 2025 – 12th International Conference on Lithium, Industrial Minerals and Energy",21-23 Oct 2025,Chile,Conferencia internacional litio,https://lithium.ucn.cl/
Mario Grágeda,Persona,Universidad de Antofagasta – CELIMIN,Director CELIMIN,Co-organizador,"IWLiME 2025 – 12th International Conference on Lithium, Industrial Minerals and Energy",21-23 Oct 2025,Chile,Conferencia internacional litio,https://lithium.ucn.cl/
Svetlana Ushak,Persona,Universidad de Antofagasta – CELIMIN,Investigadora,Comité organizador,"IWLiME 2025 – 12th International Conference on Lithium, Industrial Minerals and Energy",21-23 Oct 2025,Chile,Conferencia internacional litio,https://lithium.ucn.cl/
Hernán Cáceres,Persona,UCN – Lithium I+D+i / FICG,Decano / Director Lithium I+D+i,Keynote / comité,"IWLiME 2025 – 12th International Conference on Lithium, Industrial Minerals and Energy",21-23 Oct 2025,Chile,Conferencia internacional litio,https://lithium.ucn.cl/
Julio García,Persona,SQM Litio,Gerente Medio Ambiente,Panelista,"IWLiME 2025 – 12th International Conference on Lithium, Industrial Minerals and Energy",21-23 Oct 2025,Chile,Industria litio,https://lithium.ucn.cl/
Cristian Núñez,Persona,MOP – DGA,Subdirector DGA,Panelista institucional,"IWLiME 2025 – 12th International Conference on Lithium, Industrial Minerals and Energy",21-23 Oct 2025,Chile,Recursos hídricos / litio,https://lithium.ucn.cl/
UCN – Lithium I+D+i,Organización,Centro de investigación UCN,Centro universitario,Organizador principal,"IWLiME 2025 – 12th International Conference on Lithium, Industrial Minerals and Energy",21-23 Oct 2025,Chile,Conferencia internacional,https://lithium.ucn.cl/
Universidad de Antofagasta – CELIMIN,Organización,Centro de investigación UA,Centro universitario,Co-organizador,"IWLiME 2025 – 12th International Conference on Lithium, Industrial Minerals and Energy",21-23 Oct 2025,Chile,Conferencia internacional,https://lithium.ucn.cl/
SQM Litio,Organización,Empresa minera litio,Corporación,Patrocinador,"IWLiME 2025 – 12th International Conference on Lithium, Industrial Minerals and Energy",21-23 Oct 2025,Chile,Conferencia internacional,https://lithium.ucn.cl/
Gustavo Sáenz,Persona,Gobierno de Salta,Gobernador,Keynote apertura,"XII Seminario Internacional ""Litio en la Región de Sudamérica""",9-10 Ago 2023,Argentina,Litio como motor del progreso,https://www.salta.gob.ar/prensa/noticias/saenz-estamos-comprometidos-con-el-desarrollo-del-litio-como-motor-del-progreso-del-pais-91150
Raúl Jalil,Persona,Gobierno de Catamarca,Gobernador,Keynote apertura,"XII Seminario Internacional ""Litio en la Región de Sudamérica""",9-10 Ago 2023,Argentina,Mesa del Litio,https://www.salta.gob.ar/prensa/noticias/saenz-estamos-comprometidos-con-el-desarrollo-del-litio-como-motor-del-progreso-del-pais-91150
Gerardo Morales,Persona,Gobierno de Jujuy,Gobernador,Keynote apertura (virtual),"XII Seminario Internacional ""Litio en la Región de Sudamérica""",9-10 Ago 2023,Argentina,Desarrollo sustentable del litio,https://prensa.jujuy.gob.ar/gerado-morales/morales-mostro-la-proyeccion-desarrollo-sustentable-del-litio-n112187
Fernanda Ávila,Persona,Secretaría de Minería de la Nación (Argentina),Secretaria de Minería,Keynote,"XII Seminario Internacional ""Litio en la Región de Sudamérica""",9-10 Ago 2023,Argentina,Política minera nacional,https://www.salta.gob.ar/prensa/noticias/saenz-estamos-comprometidos-con-el-desarrollo-del-litio-como-motor-del-progreso-del-pais-91150
Flavia Royón,Persona,Secretaría de Energía de la Nación (Argentina),Secretaria de Energía,Keynote apertura,"XII Seminario Internacional ""Litio en la Región de Sudamérica""",9-10 Ago 2023,Argentina,Transición energética / litio,https://www.argentina.gob.ar/noticias/royon-la-transicion-energetica-es-una-gran-oportunidad-para-la-argentina
Miguel Soler,Persona,COFEMIN / Sec. Minería e Hidrocarburos Jujuy,Presidente COFEMIN,Panelista,"XII Seminario Internacional ""Litio en la Región de Sudamérica""",9-10 Ago 2023,Argentina,Consejo Federal de Minería,https://prensa.jujuy.gob.ar/gerado-morales/morales-mostro-la-proyeccion-desarrollo-sustentable-del-litio-n112187
Franco Mignacco,Persona,CAEM – Cámara Argentina Empresarios Mineros,Presidente (entonces),Panelista,"XII Seminario Internacional ""Litio en la Región de Sudamérica""",9-10 Ago 2023,Argentina,Sector empresarial,https://prensa.jujuy.gob.ar/gerado-morales/morales-mostro-la-proyeccion-desarrollo-sustentable-del-litio-n112187
Joe Lowry,Persona,"Global Lithium LLC (""Mr. Lithium"")",Consultor internacional,Expositor destacado,"XII Seminario Internacional ""Litio en la Región de Sudamérica""",9-10 Ago 2023,Argentina,Historia y geopolítica del litio,https://www.salta.gob.ar/prensa/noticias/salta-brillo-como-epicentro-de-innovacion-y-atractivo-turistico-en-el-evento-de-litio-91175
Emilio López King,Persona,Asociación Internacional del Litio (ILiA),Director,Expositor,"XII Seminario Internacional ""Litio en la Región de Sudamérica""",9-10 Ago 2023,Argentina,Mercado internacional litio,https://litio.com.ar/seminario-internacional-litio-en-la-region-de-sudamerica-2023-organizado-por-panorama-minero/
Roberto Salvarezza,Persona,YPF Litio / Y-TEC,Presidente,Expositor,"XII Seminario Internacional ""Litio en la Región de Sudamérica""",9-10 Ago 2023,Argentina,Estrategia argentina litio,https://litio.com.ar/seminario-internacional-litio-en-la-region-de-sudamerica-2023-organizado-por-panorama-minero/
Panorama Minero,Organización,Medio especializado y organizador,Organizador,Organizador principal,"XII Seminario Internacional ""Litio en la Región de Sudamérica""",9-10 Ago 2023,Argentina,Seminario XII edición,https://litio.com.ar/seminario-internacional-litio-en-la-region-de-sudamerica-2023-organizado-por-panorama-minero/
Gobierno de Salta,Organización,Ejecutivo provincial,Anfitrión,Anfitrión,"XII Seminario Internacional ""Litio en la Región de Sudamérica""",9-10 Ago 2023,Argentina,Sede del seminario,https://www.salta.gob.ar/prensa/noticias/saenz-estamos-comprometidos-con-el-desarrollo-del-litio-como-motor-del-progreso-del-pais-91150
Centro de Convenciones de Salta,Organización,Sede institucional,Sede,Sede,"XII Seminario Internacional ""Litio en la Región de Sudamérica""",9-10 Ago 2023,Argentina,Sede física,https://www.salta.gob.ar/prensa/noticias/saenz-estamos-comprometidos-con-el-desarrollo-del-litio-como-motor-del-progreso-del-pais-91150
Benchmark Mineral Intelligence,Organización,Consultora británica,Expositor,Expositor / consultora,"XII Seminario Internacional ""Litio en la Región de Sudamérica""",9-10 Ago 2023,Argentina,Mercado global litio,https://www.ambito.com/energia/mineria-organizan-salta-exposicion-del-litio-decenas-invitados-y-mr-lithium-n5769690
CRU Group,Organización,Consultora internacional,Expositor,Expositor / consultora,"XII Seminario Internacional ""Litio en la Región de Sudamérica""",9-10 Ago 2023,Argentina,Precios y mercado litio,https://www.ambito.com/energia/mineria-organizan-salta-exposicion-del-litio-decenas-invitados-y-mr-lithium-n5769690
Fastmarkets,Organización,Consultora internacional precios metales,Expositor,Expositor / consultora,"XII Seminario Internacional ""Litio en la Región de Sudamérica""",9-10 Ago 2023,Argentina,Precios referencia litio,https://www.ambito.com/energia/mineria-organizan-salta-exposicion-del-litio-decenas-invitados-y-mr-lithium-n5769690
Citigroup,Organización,Banca internacional,Expositor,Panelista financiero,"XII Seminario Internacional ""Litio en la Región de Sudamérica""",9-10 Ago 2023,Argentina,Finanzas del litio,https://www.ambito.com/energia/mineria-organizan-salta-exposicion-del-litio-decenas-invitados-y-mr-lithium-n5769690
JP Morgan,Organización,Banca internacional,Expositor,Panelista financiero,"XII Seminario Internacional ""Litio en la Región de Sudamérica""",9-10 Ago 2023,Argentina,Finanzas del litio,https://www.ambito.com/energia/mineria-organizan-salta-exposicion-del-litio-decenas-invitados-y-mr-lithium-n5769690
Comunidades originarias Santa Rosa de los Pastos Grandes,Organización,Pueblo originario Salta,Comunidad,Asistentes / delegación,"XII Seminario Internacional ""Litio en la Región de Sudamérica""",9-10 Ago 2023,Argentina,Representación comunitaria,https://prensa.jujuy.gob.ar/gerado-morales/morales-mostro-la-proyeccion-desarrollo-sustentable-del-litio-n112187
Comunidades originarias Salar de Pocitos,Organización,Pueblo originario Salta,Comunidad,Asistentes / delegación,"XII Seminario Internacional ""Litio en la Región de Sudamérica""",9-10 Ago 2023,Argentina,Representación comunitaria,https://prensa.jujuy.gob.ar/gerado-morales/morales-mostro-la-proyeccion-desarrollo-sustentable-del-litio-n112187
Comunidades originarias Tolar Grande,Organización,Pueblo originario Salta,Comunidad,Asistentes / delegación,"XII Seminario Internacional ""Litio en la Región de Sudamérica""",9-10 Ago 2023,Argentina,Representación comunitaria,https://prensa.jujuy.gob.ar/gerado-morales/morales-mostro-la-proyeccion-desarrollo-sustentable-del-litio-n112187
Comunidades originarias Olacapato,Organización,Pueblo originario Salta,Comunidad,Asistentes / delegación,"XII Seminario Internacional ""Litio en la Región de Sudamérica""",9-10 Ago 2023,Argentina,Representación comunitaria,https://prensa.jujuy.gob.ar/gerado-morales/morales-mostro-la-proyeccion-desarrollo-sustentable-del-litio-n112187
BID – Banco Interamericano de Desarrollo,Organización,Organismo multilateral,Representante,Panelista,"XII Seminario Internacional ""Litio en la Región de Sudamérica""",9-10 Ago 2023,Argentina,Financiamiento minero,https://litio.com.ar/seminario-internacional-litio-en-la-region-de-sudamerica-2023-organizado-por-panorama-minero/
Livent Corporation / Arcadium,Organización,Empresa productora litio,Corporación,Expositor empresarial,"XII Seminario Internacional ""Litio en la Región de Sudamérica""",9-10 Ago 2023,Argentina,Proyecto Fénix Hombre Muerto,https://litio.com.ar/seminario-internacional-litio-en-la-region-de-sudamerica-2023-organizado-por-panorama-minero/
Eramine Sudamérica,Organización,Productora litio (Eramet+Tsingshan),Corporación,Expositor empresarial,"XII Seminario Internacional ""Litio en la Región de Sudamérica""",9-10 Ago 2023,Argentina,Centenario-Ratones Salta,https://litio.com.ar/seminario-internacional-litio-en-la-region-de-sudamerica-2023-organizado-por-panorama-minero/
Lithium Americas / Lithium Argentina,Organización,Productora canadiense,Corporación,Expositor empresarial,"XII Seminario Internacional ""Litio en la Región de Sudamérica""",9-10 Ago 2023,Argentina,Caucharí-Olaroz,https://litio.com.ar/seminario-internacional-litio-en-la-region-de-sudamerica-2023-organizado-por-panorama-minero/
